Date,Power_Usage
2023-03-06,2417
2023-03-07,2483
2023-03-08,2966
2023-03-09,3018
2023-03-10,2944
2023-03-11,2858
2023-03-12,3057
2023-03-13,2496
2023-03-14,2403
2023-03-15,2787
2023-03-16,2854
2023-03-17,2841
2023-03-18,3015
2023-03-19,2781
2023-03-20,2726
2023-03-21,2597
2023-03-22,2763
2023-03-23,2777
2023-03-24,2756
2023-03-25,3059
2023-03-26,3001
2023-03-27,2602
2023-03-28,2652
2023-03-29,2894
2023-03-30,2879
2023-03-31,2817
2023-04-01,2822
2023-04-02,3031
2023-04-03,1916
2023-04-04,1917
2023-04-05,2822
2023-04-06,3051
2023-04-07,3000
2023-04-08,2772
2023-04-09,3050
2023-04-10,2561
2023-04-11,2442
2023-04-12,2983
2023-04-13,2846
2023-04-14,2995
2023-04-15,2881
2023-04-16,2773
2023-04-17,2765
2023-04-18,2802
2023-04-19,2922
2023-04-20,2975
2023-04-21,2797
2023-04-22,2808
2023-04-23,3051
2023-04-24,2625
2023-04-25,2584
2023-04-26,2904
2023-04-27,2681
2023-04-28,2750
2023-04-29,2994
2023-04-30,2867
2023-05-01,2589
2023-05-02,2556
2023-05-03,2946
2023-05-04,2955
2023-05-05,2746
2023-05-06,2796
2023-05-07,2862
2023-05-08,2460
2023-05-09,2552
2023-05-10,2862
2023-05-11,2877
2023-05-12,2737
2023-05-13,2772
2023-05-14,2860
2023-05-15,2698
2023-05-16,2532
2023-05-17,2993
2023-05-18,2753
2023-05-19,2730
2023-05-20,2718
2023-05-21,2822
2023-05-22,2441
2023-05-23,2523
2023-05-24,2799
2023-05-25,2732
2023-05-26,2750
2023-05-27,2737
2023-05-28,2752
2023-05-29,2416
2023-05-30,2256
2023-05-31,2682
2023-06-01,2782
2023-06-02,2800
2023-06-03,2497
2023-06-04,2677
2023-06-05,2159
2023-06-06,2387
2023-06-07,2598
2023-06-08,2790
2023-06-09,2497
2023-06-10,2622
2023-06-11,2752
2023-06-12,2496
2023-06-13,2327
2023-06-14,2736
2023-06-15,2611
2023-06-16,2570
2023-06-17,2652
2023-06-18,2628
2023-06-19,2208
2023-06-20,2437
2023-06-21,2659
2023-06-22,2576
2023-06-23,2643
2023-06-24,2367
2023-06-25,2626
2023-06-26,2299
2023-06-27,2264
2023-06-28,2621
2023-06-29,2553
2023-06-30,2326
2023-07-01,2461
2023-07-02,2395
